%This data was randomly generated with the parameters shown below

@relation RandomTree,features=(color,size,act,age,grade,inflated),seed=0

@attribute color {YELLOW, PURPLE}
@attribute size {LARGE, SMALL}
@attribute act {STRETCH, DIP}
@attribute age {ADULT, CHILD, TEEN}
@attribute grade {A, B}
@attribute inflated {T, F, BOTH}

@data
YELLOW,LARGE,STRETCH,ADULT,A,BOTH
YELLOW,LARGE,STRETCH,ADULT,B,BOTH
YELLOW,LARGE,STRETCH,CHILD,A,F
YELLOW,LARGE,STRETCH,CHILD,B,T
YELLOW,LARGE,STRETCH,TEEN,A,F
YELLOW,LARGE,STRETCH,TEEN,B,F
YELLOW,LARGE,DIP,ADULT,A,BOTH
YELLOW,LARGE,DIP,ADULT,B,T
YELLOW,LARGE,DIP,CHILD,A,F
YELLOW,LARGE,DIP,CHILD,B,F
YELLOW,LARGE,DIP,TEEN,A,BOTH
YELLOW,LARGE,DIP,TEEN,B,F
YELLOW,SMALL,STRETCH,ADULT,A,T
YELLOW,SMALL,STRETCH,ADULT,B,BOTH
YELLOW,SMALL,STRETCH,CHILD,A,F
YELLOW,SMALL,STRETCH,CHILD,B,T
YELLOW,SMALL,STRETCH,TEEN,A,BOTH
YELLOW,SMALL,STRETCH,TEEN,B,BOTH
YELLOW,SMALL,DIP,ADULT,A,BOTH
YELLOW,SMALL,DIP,ADULT,B,BOTH
YELLOW,SMALL,DIP,CHILD,A,T
YELLOW,SMALL,DIP,CHILD,B,BOTH
YELLOW,SMALL,DIP,TEEN,A,BOTH
YELLOW,SMALL,DIP,TEEN,B,BOTH
PURPLE,LARGE,STRETCH,ADULT,A,F
PURPLE,LARGE,STRETCH,ADULT,B,T
PURPLE,LARGE,STRETCH,CHILD,A,F
PURPLE,LARGE,STRETCH,CHILD,B,F
PURPLE,LARGE,STRETCH,TEEN,A,BOTH
PURPLE,LARGE,STRETCH,TEEN,B,BOTH
PURPLE,LARGE,DIP,ADULT,A,F
PURPLE,LARGE,DIP,ADULT,B,BOTH
PURPLE,LARGE,DIP,CHILD,A,T
PURPLE,LARGE,DIP,CHILD,B,BOTH
PURPLE,LARGE,DIP,TEEN,A,F
PURPLE,LARGE,DIP,TEEN,B,T
PURPLE,SMALL,STRETCH,ADULT,A,BOTH
PURPLE,SMALL,STRETCH,ADULT,B,F
PURPLE,SMALL,STRETCH,CHILD,A,BOTH
PURPLE,SMALL,STRETCH,CHILD,B,BOTH
PURPLE,SMALL,STRETCH,TEEN,A,T
PURPLE,SMALL,STRETCH,TEEN,B,F
PURPLE,SMALL,DIP,ADULT,A,BOTH
PURPLE,SMALL,DIP,ADULT,B,T
PURPLE,SMALL,DIP,CHILD,A,T
PURPLE,SMALL,DIP,CHILD,B,BOTH
PURPLE,SMALL,DIP,TEEN,A,T
PURPLE,SMALL,DIP,TEEN,B,F
